latitude,longitude
57.145636,-2.102259
57.132865,-2.118083
57.184427,-2.119902
57.159998,-2.115028
56.008826,-3.717829
56.118818,-3.936514
55.997236,-3.780975
51.484087,-0.164002
51.509212,-0.195273
51.507804,-0.203110
51.513314,-0.198858
51.484361,-0.175802
51.484437,-0.157651
51.481575,-0.181674
51.514321,-0.217699
51.505847,-0.210392
51.484361,-0.175802
51.485178,-0.187868
51.492045,-0.178376
51.485669,-0.173157
51.486835,-0.178728
51.496918,-0.179479
51.499048,-0.160375
51.494554,-0.195276
51.492747,-0.200533
51.494761,-0.185327
51.482637,-0.186385
51.483866,-0.184464
51.511499,-0.197777
51.495119,-0.173644
51.484569,-0.183427
51.495204,-0.179115
51.520893,-0.212253
51.497714,-0.167057
51.494790,-0.158386
51.490988,-0.197289
51.485058,-0.168572
51.526244,-0.215215
51.518171,-0.210630
51.495813,-0.172031
51.495653,-0.179097
51.493939,-0.202071
51.490798,-0.173384
51.496430,-0.206151
51.494743,-0.195845
51.499578,-0.159778
51.484924,-0.154319
51.482582,-0.171264
51.500192,-0.211046
51.488439,-0.166276
51.493938,-0.184496
51.497015,-0.168381
51.487628,-0.195117
51.509712,-0.192659
51.516489,-0.206516
51.497682,-0.159278
51.514170,-0.207760
51.498244,-0.201325
51.487021,-0.179153
51.481575,-0.181674
51.499635,-0.209915
51.497048,-0.159015
51.508488,-0.200778
51.492135,-0.178373
51.482637,-0.186385
51.484569,-0.183427
51.481060,-0.183279
51.495570,-0.173770
51.492443,-0.163523
51.498447,-0.208665
51.494754,-0.184895
51.497138,-0.159012
51.523079,-0.219952
51.516717,-0.209678
51.491927,-0.199845
51.502487,-0.214126
51.508624,-0.215615
51.495206,-0.179259
51.495898,-0.171740
51.507588,-0.194905
51.495570,-0.173770
51.499523,-0.202572
51.501665,-0.184044
51.498826,-0.192370
51.482775,-0.177882
51.516717,-0.209678
51.499026,-0.164699
51.503951,-0.192311
51.493493,-0.190564
51.514399,-0.199248
51.488439,-0.166276
51.501648,-0.165602
51.498539,-0.208806
51.492515,-0.168130
51.492092,-0.164113
51.491173,-0.180140
51.494898,-0.182585
51.515007,-0.221419
51.490444,-0.191117
51.485757,-0.150108
51.501115,-0.160292
51.487635,-0.178120
51.481572,-0.181530
51.516807,-0.209674
51.514915,-0.221279
51.504784,-0.193863
51.515582,-0.205975
51.489214,-0.164084
51.517219,-0.219027
51.522072,-0.212927
51.495835,-0.196666
51.499958,-0.195783
51.504854,-0.216051
51.492181,-0.187158
51.497140,-0.159156
51.491782,-0.178819
51.480721,-0.184588
51.518079,-0.210489
51.481572,-0.181530
51.486394,-0.185083
51.516750,-0.205929
51.509695,-0.197416
51.498585,-0.165293
51.488091,-0.167010
51.499600,-0.207611
51.522741,-0.221406
51.519753,-0.225991
51.523076,-0.219807
51.485546,-0.188430
51.495656,-0.173478
51.494611,-0.193113
51.499783,-0.196078
51.486795,-0.170375
51.498763,-0.165142
51.501666,-0.160991
51.492008,-0.199266
51.498765,-0.165286
51.483247,-0.167781
51.491002,-0.180723
51.494907,-0.183160
51.482719,-0.174283
51.490097,-0.174565
51.500203,-0.159464
51.485216,-0.149986
51.504054,-0.216658
51.483422,-0.167486
51.490988,-0.197289
51.508229,-0.201508
51.509712,-0.192659
51.484044,-0.184312
51.502166,-0.158521
51.493439,-0.198777
51.494521,-0.158397
51.517243,-0.214702
51.481492,-0.176349
51.493568,-0.160740
51.498743,-0.163846
51.518806,-0.211037
51.488439,-0.166276
51.492657,-0.200537
51.516093,-0.215900
51.526202,-0.212477
51.480289,-0.185758
51.492655,-0.200393
51.494369,-0.200757
51.523076,-0.219807
51.488493,-0.181255
51.522614,-0.213050
51.489943,-0.187823
51.500731,-0.193447
51.480972,-0.183426
51.515900,-0.209133
51.519569,-0.207980
51.501476,-0.212725
51.490263,-0.162170
51.481986,-0.173448
51.482637,-0.186385
51.509712,-0.192659
51.498775,-0.206635
51.489416,-0.194470
51.500075,-0.162784
51.496736,-0.167816
51.494544,-0.188793
51.484363,-0.158662
51.491678,-0.183721
51.496515,-0.205859
51.498926,-0.198849
51.483334,-0.167633
51.497048,-0.159015
51.496430,-0.206151
51.510958,-0.197654
51.479117,-0.179756
51.489084,-0.173021
51.489041,-0.176047
51.493966,-0.174698
51.508562,-0.199766
51.497752,-0.192700
51.490528,-0.196587
51.496171,-0.206881
51.519986,-0.211712
51.519988,-0.211856
51.498902,-0.179832
51.483334,-0.167633
51.494685,-0.192101
51.507120,-0.205443
51.481663,-0.175766
51.487673,-0.169044
51.512257,-0.217923
51.485398,-0.150122
51.496466,-0.185115
51.508882,-0.197159
51.516717,-0.209678
51.481997,-0.185690
51.494723,-0.182880
51.510993,-0.199958
51.509629,-0.193095
51.499113,-0.164551
51.516263,-0.209407
51.501340,-0.180455
51.483422,-0.167486
51.505347,-0.213006
51.497894,-0.207822
51.496665,-0.168972
51.492941,-0.183959
51.488675,-0.181392
51.482987,-0.185795
51.501371,-0.182471
51.493427,-0.168957
51.514930,-0.204559
51.484887,-0.174917
51.518804,-0.210893
51.525685,-0.208029
51.490351,-0.162022
51.502273,-0.188487
51.487021,-0.179153
51.501864,-0.191097
51.498855,-0.159519
51.500075,-0.162784
51.487628,-0.195117
51.497671,-0.181610
51.487367,-0.195704
51.519505,-0.221532
51.491850,-0.171614
51.480199,-0.185761
