latitude,longitude
52.490,-171.701
39.508,-121.988
52.283,160.096
52.240,160.402
52.510,160.023
59.863,-153.098
-44.944,-80.541
66.649,-147.062
5.869,126.945
26.758,57.779
19.003,-65.156
52.289,160.216
51.612,160.464
35.686,-97.074
52.972,158.941
52.415,160.119
19.048,-66.750
52.433,160.183
63.860,-148.604
52.305,160.170
52.418,160.048
19.281,-67.381
52.383,159.952
52.365,159.987
52.748,159.112
52.886,159.265
52.359,160.217
19.097,-66.823
39.020,-122.573
18.943,-65.104
18.957,-65.078
18.875,-65.150
52.267,160.010
52.352,160.088
-20.784,-177.563
52.410,159.993
52.834,159.200
65.117,-149.423
52.706,158.837
52.434,160.144
52.404,160.098
52.453,160.198
52.381,160.096
52.261,160.862
52.278,160.090
52.370,160.103
52.337,160.239
19.082,-67.304
52.582,159.573
52.425,160.318
61.541,-149.851
52.366,160.114
52.360,160.173
33.215,-115.555
19.081,-66.915
19.107,-66.752
52.395,160.037
19.117,-66.831
19.105,-66.808
19.189,-66.781
19.137,-66.859
19.015,-66.726
19.146,-66.817
19.091,-66.834
19.108,-66.728
54.113,168.571
12.647,-89.103
-30.568,-177.751
52.313,159.942
37.484,144.564
36.927,-104.720
36.743,5.279
-37.628,177.943
-45.276,167.308
62.866,-149.935
51.388,-176.512
5.112,94.290
18.978,-68.486
62.589,-25.465
36.376,143.301
40.322,-124.390
19.082,-65.241
19.597,-66.360
-17.099,-70.706
-21.540,-68.332
37.810,142.437
62.006,-150.956
56.219,163.253
18.943,-64.671
53.301,-166.903
17.423,-62.008
52.883,158.876
52.672,158.942
53.562,-165.419
63.618,-147.806
19.447,-66.267
56.084,164.637
60.288,-152.958
-28.374,178.649
40.441,-124.477
-8.966,124.140
40.316,-124.354
19.522,-66.324
19.480,-66.309
26.570,57.779
-21.182,168.517
26.768,57.778
26.688,57.811
19.483,-66.340
37.813,142.383
6.546,-82.387
52.198,160.302
19.765,-156.095
37.745,141.494
19.288,-66.354
-17.892,-178.628
59.100,-152.832
19.388,-66.334
19.538,-66.295
-40.486,-91.379
19.492,-66.319
-53.107,22.122
52.375,159.851
19.513,-66.309
61.504,-140.689
38.806,-122.791
37.633,124.580
51.020,-179.071
-35.230,-105.841
1.359,98.946
-6.134,149.919
45.767,-76.346
37.378,-119.038
19.306,-66.033
-10.483,-75.225
54.622,-153.733
45.727,-76.329
45.767,-76.397
18.497,-67.412
46.940,-113.309
-20.793,-178.748
17.650,-66.271
-6.245,154.412
-19.192,-69.201
-11.085,165.082
31.559,86.467
-6.694,129.829
59.313,-151.998
18.134,-67.691
33.213,-115.553
-43.625,172.426
52.359,176.996
33.203,-115.550
36.068,-120.012
51.553,178.939
-41.395,-87.729
-56.086,-26.799
51.496,177.406
-22.154,-179.564
19.921,-64.467
31.581,-116.107
55.026,-159.282
12.057,-73.444
-11.601,113.644
19.259,-66.158
19.350,-66.010
13.772,50.352
15.075,-92.292
5.816,-77.412
52.890,-168.728
52.293,160.192
34.858,-119.239
52.322,160.052
38.747,144.395
37.111,141.236
35.365,141.456
-8.785,117.548
-57.578,-6.931
-53.004,22.413
42.773,-111.207
-52.881,10.365
26.838,144.137
-53.058,22.177
51.248,-177.942
37.050,28.422
8.616,141.522
0.041,100.393
33.373,-116.841
52.401,-164.556
40.399,141.821
-4.873,144.576
-11.303,165.115
53.833,-164.138
33.658,-118.372
51.164,179.479
30.397,103.100
-18.527,-71.402
33.980,-116.767
26.835,57.757
58.648,-152.537
-10.880,113.842
46.148,151.117
51.490,-175.997
13.042,-88.771
60.387,-152.464
32.586,105.195
18.221,-68.557
55.505,-159.549
-4.546,153.212
31.468,86.569
35.549,-97.160
1.059,97.440
58.456,-156.301
1.063,97.397
36.814,140.590
66.635,-135.821
-27.192,-178.004
59.779,-153.386
65.571,-134.944
62.858,-148.700
18.294,-67.554
38.819,-122.804
38.910,88.174
60.082,-152.549
17.865,-67.065
-4.580,152.824
-5.488,151.686
39.916,72.333
18.730,-64.761
-15.590,-73.177
-0.556,130.303
-18.624,-173.450
33.154,75.837
18.270,-67.062
33.156,75.780
0.775,92.437
18.783,-64.650
36.284,69.759
18.973,-64.101
-1.142,-77.477
62.120,-150.215
51.991,-171.710
-8.236,122.099
56.200,162.696
58.676,-152.556
-27.867,-66.635
45.612,-111.737
-6.540,129.879
58.749,-153.882
60.183,-152.704
37.095,-112.117
50.891,178.862
36.682,-117.746
32.209,-115.259
35.620,-90.550
63.377,-151.368
52.481,-174.193
17.901,-67.309
58.752,-153.882
58.768,-153.886
52.778,-168.949
18.748,145.294
-18.096,-175.136
31.128,-104.746
-3.037,130.264
2.782,125.310
28.395,51.791
55.062,-159.403
19.267,-155.568
54.556,161.938
62.266,-151.424
41.047,-123.333
48.586,154.872
-6.509,129.702
34.010,-37.547
51.951,-171.600
36.778,140.500
-7.949,-79.913
59.585,-152.929
-3.003,130.185
62.317,-151.153
19.406,-64.154
60.830,-151.802
51.247,-177.900
-19.872,-177.779
52.224,-171.773
10.308,-85.816
0.760,125.368
10.246,-85.893
21.940,143.744
44.026,147.811
29.531,52.699
60.684,-149.460
52.184,-171.714
52.488,-171.971
-7.635,128.012
-6.509,128.066
1.176,-101.293
63.341,-150.139
55.614,-135.279
53.543,-167.003
62.909,-150.919
18.569,-68.453
-3.109,-77.589
-26.177,-69.223
-21.010,-68.545
26.734,57.813
-22.083,170.256
27.402,57.369
18.262,-67.170
26.791,57.742
39.554,73.033
-6.459,154.228
26.637,57.699
46.637,152.647
-6.401,154.270
13.563,-91.285
52.630,-163.884
19.184,-64.808
58.778,-153.920
58.747,-153.875
26.525,57.961
18.773,-67.449
60.038,-153.340
26.858,57.710
69.660,-147.081
19.469,-67.796
19.388,-155.246
19.386,-155.243
39.992,-120.795
26.744,57.749
13.691,-91.236
52.530,-169.524
26.472,57.749
26.845,57.848
26.735,57.780
26.691,57.520
26.717,57.762
26.754,57.677
26.754,57.677
-17.944,-175.075
54.453,-161.487
-15.763,-71.534
24.749,123.251
50.998,-177.742
18.311,-64.875
26.657,57.917
-26.159,-69.345
51.949,-170.869
-3.756,129.726
36.178,70.855
37.694,143.949
26.730,57.660
26.665,57.769
17.913,-65.953
26.749,57.779
11.604,-87.371
40.331,-124.591
26.809,58.058
26.555,57.695
26.619,57.712
30.107,51.636
32.821,12.442
-18.537,-173.665
26.822,57.794
19.483,-67.807
26.919,57.529
44.341,148.261
26.788,57.944
26.577,57.581
26.685,57.941
26.773,57.766
26.640,57.861
26.812,57.800
26.754,57.950
-15.931,-72.333
26.712,57.886
61.250,-147.050
30.275,102.949
51.964,-171.013
30.312,102.947
30.312,102.947
33.531,-116.447
-6.478,154.410
21.908,94.716
51.811,-170.760
14.099,-91.362
51.111,-179.403
-28.959,-13.232
-7.591,127.742
55.809,165.403
18.950,-64.379
51.796,-176.007
-6.175,103.670
43.917,-105.707
52.045,177.495
52.391,177.665
-17.997,168.551
17.915,-65.948
-17.644,-178.803
40.424,-124.442
51.518,177.366
15.009,-92.549
14.819,-92.530
19.128,-65.356
67.535,139.288
55.495,-160.108
56.743,-154.874
40.343,-124.612
-53.107,25.676
49.929,157.295
37.373,-121.724
35.759,-83.912
19.171,-65.320
59.543,-152.770
60.190,-146.390
-12.210,-76.672
51.701,179.288
63.758,-23.128
-0.684,123.226
61.623,-146.535
55.526,161.399
33.960,-118.416
19.391,-155.278
39.141,16.082
54.303,-162.479
19.785,-156.197
38.356,-122.180
16.948,-97.970
63.727,-23.069
1.584,126.550
4.386,123.904
63.604,-23.744
27.678,63.497
50.960,157.739
51.137,-178.205
18.935,-64.159
35.541,-97.250
-55.793,-27.251
18.853,-67.222
1.340,128.145
1.306,128.170
39.973,-120.795
-3.781,135.515
10.247,-62.319
64.065,-23.081
-5.373,153.751
18.370,-64.939
19.632,-64.440
26.848,57.823
1.369,127.060
54.159,-164.156
14.233,-92.651
51.849,-178.841
54.402,-165.279
21.564,143.014
40.423,-125.361
36.297,-119.906
59.394,-152.701
51.840,175.128
44.390,-125.759
52.075,-171.679
51.287,-175.084
51.690,-173.734
64.753,-149.040
58.257,-142.753
44.120,147.166
-4.407,133.899
40.221,-121.344
53.926,-164.354
35.678,140.646
18.969,-155.462
52.826,-169.529
32.939,-100.852
19.085,145.228
36.021,99.430
17.911,-65.416
38.708,-118.592
48.316,-124.817
60.907,-151.575
66.876,-156.562
47.963,141.359
-19.628,174.732
-24.504,179.823
51.211,-179.175
60.804,-151.742
1.428,98.246
19.054,-65.049
60.865,-149.681
51.750,178.100
18.045,-66.284
-25.231,70.024
33.284,54.955
44.590,-110.971
-56.796,-26.853
19.066,-64.690
34.478,-119.310
19.550,-64.919
38.702,71.370
52.048,-174.897
61.405,-150.056
-5.488,148.381
44.587,-110.965
-5.196,101.969
18.632,-64.069
-8.755,118.405
18.738,-64.267
-19.638,175.064
4.283,96.196
-7.972,111.269
44.572,-112.723
52.418,-173.390
-7.626,130.607
54.812,-162.243
34.479,-119.311
-10.900,163.715
52.674,-168.779
18.720,-68.590
19.723,-64.379
-11.434,166.378
33.501,-116.451
28.780,51.661
19.352,-155.082
37.499,141.886
-25.215,179.808
51.458,-176.807
63.171,-151.563
32.950,-100.932
32.177,-115.197
58.446,-155.220
25.113,96.528
20.708,99.791
-9.189,107.878
-42.172,173.693
-22.102,-179.474
60.102,163.514
51.425,-178.195
38.840,-122.830
44.572,-112.729
44.572,-112.727
40.825,-124.625
-7.250,68.128
-9.302,107.730
43.048,-126.373
37.412,143.673
32.946,-100.795
58.421,-142.756
-8.199,107.768
18.938,-64.603
-7.590,107.705
18.990,-64.995
18.641,-66.647
18.680,-65.079
-21.115,-176.158
51.855,-168.812
42.620,-111.955
42.608,-111.947
39.683,-123.554
28.448,51.755
-4.561,144.803
-27.319,-67.235
44.582,-110.970
14.041,-92.578
61.404,-150.053
19.593,-64.233
-9.370,125.719
-14.912,166.885
18.611,-66.831
56.544,-153.884
56.045,-154.044
-33.599,-14.154
44.284,-116.240
-23.161,-67.127
-52.280,14.093
-15.483,-72.492
2.206,126.187
-4.711,145.195
-9.489,-79.096
19.324,-67.966
45.090,-124.915
9.686,-84.149
13.279,49.561
19.101,-66.606
-7.206,130.595
-56.477,-25.031
19.619,-66.019
18.747,-64.442
19.924,-105.108
19.497,-65.332
-23.388,179.929
15.566,-87.214
-54.663,-135.966
54.686,-162.966
51.515,-176.659
53.440,-166.185
43.545,-106.099
60.568,-151.670
25.985,124.438
60.165,-151.569
20.558,-154.569
19.440,-104.924
18.926,-64.952
-18.601,-177.907
-21.292,-68.978
19.699,-64.700
2.263,93.051
18.936,-64.592
-6.055,112.749
1.822,126.332
18.660,-66.947
-11.105,165.075
44.868,11.445
56.212,-153.111
28.136,51.883
-12.675,-77.584
-27.874,-66.783
63.305,-151.256
28.570,52.480
4.214,125.774
28.327,51.781
19.117,-66.445
57.891,-156.136
54.306,-162.513
19.012,-64.607
19.277,-65.242
55.270,162.253
19.337,-65.030
53.328,-166.886
60.857,-153.168
19.580,-65.382
39.562,-123.393
38.732,-119.677
-6.301,127.973
36.959,-121.447
38.732,-119.666
44.686,-110.044
-3.122,130.121
35.880,-120.430
-28.105,-72.381
33.978,-118.769
-10.750,113.918
57.804,-142.903
-10.875,165.898
1.345,126.865
53.227,-160.092
32.103,-115.092
52.654,157.263
33.986,-118.786
37.050,71.347
66.351,-157.446
-7.569,130.656
12.887,93.333
5.876,92.588
19.159,-64.718
0.906,126.094
17.364,147.160
52.816,-169.343
52.634,-169.254
13.309,144.399
42.103,-120.248
-7.571,130.509
51.533,-178.063
-11.523,117.163
-11.500,117.110
2.747,91.570
18.808,-64.243
35.717,-0.099
18.917,-64.347
52.673,-163.682
51.235,-178.127
38.233,-107.723
38.222,-107.723
36.478,139.145
36.965,-121.454
52.290,-174.439
10.859,-61.232
40.296,-124.376
11.540,-73.139
61.494,-147.481
63.298,-150.537
28.264,51.742
40.297,-124.388
34.865,141.710
27.628,60.712
52.686,-169.254
52.701,-169.486
40.295,-124.367
40.297,-124.384
61.942,-149.915
32.211,-115.221
28.292,51.746
51.836,-170.440
-38.113,144.483
28.344,51.762
38.734,-119.674
52.507,-168.659
63.060,-150.792
58.082,-154.558
33.438,-116.900
15.057,123.363
34.763,-118.928
34.771,-118.931
-6.379,130.317
-17.575,167.790
33.082,75.760
63.773,-148.475
-32.470,-69.329
33.100,75.838
14.938,123.280
17.891,-67.058
19.243,-67.263
60.285,-152.303
31.768,-115.878
36.174,-117.854
51.935,-173.562
-17.648,167.731
59.841,-153.540
37.190,71.073
52.644,-169.841
55.183,-160.672
-20.951,-67.531
-17.639,167.943
53.839,-163.774
-22.829,-69.190
30.354,103.035
32.194,-115.185
35.383,5.624
36.964,71.288
28.041,51.876
31.318,-116.013
-12.441,117.288
36.368,71.113
40.281,-124.352
28.351,62.034
-65.390,179.451
18.513,-64.517
24.909,123.347
36.503,139.202
14.485,-90.088
-19.089,-175.347
12.110,-86.745
67.259,-147.942
-33.525,-70.543
0.151,119.833
33.137,75.747
41.065,48.145
18.566,-68.743
63.106,-151.443
19.243,-155.492
17.488,-62.142
37.655,-25.007
36.966,-121.453
-28.599,-70.199
61.643,-151.761
62.940,-151.596
51.274,92.390
4.233,123.231
56.370,-131.251
40.984,-123.527
33.171,-115.605
33.155,-115.642
-57.922,-26.758
16.858,-94.056
18.152,-101.971
47.771,-121.819
17.136,-99.933
-34.912,-71.998
3.886,95.918
-6.763,154.875
35.705,140.950
-31.558,-69.408
45.030,-111.851
5.482,-99.153
19.014,-64.325
66.503,-135.902
12.468,-86.870
40.855,-125.010
33.958,-118.410
-3.282,-78.607
55.239,-160.264
-3.135,136.979
54.837,-160.646
54.405,-163.426
18.402,-67.382
62.386,-148.333
19.344,-64.065
52.530,-168.533
52.530,-168.533
49.872,179.575
37.450,22.700
36.940,27.760
31.782,104.205
7.341,-78.228
7.354,-78.238
31.714,104.190
31.711,104.180
18.643,-64.962
18.251,-67.709
23.354,143.612
23.323,143.611
-10.366,124.057
35.644,-97.134
39.531,-123.040
28.797,128.086
28.807,128.035
-19.197,-174.391
35.610,-97.147
26.998,54.315
26.857,54.400
13.437,-92.947
52.456,-167.928
29.065,142.212
-21.567,-69.839
18.755,-67.453
38.252,22.223
38.249,22.177
-6.027,154.412
62.407,-148.524
53.598,-160.443
52.076,-173.515
36.768,-121.481
34.198,-96.855
34.234,-96.854
-10.649,164.664
24.778,123.213
24.755,123.247
36.764,142.053
36.772,142.203
-3.802,139.607
-3.802,139.607
51.761,-173.198
-4.842,153.308
-4.828,153.317
-18.260,-69.239
-18.260,-69.239
-18.156,-69.043
60.338,-147.552
23.077,143.039
23.149,143.294
19.137,-66.406
19.784,-156.115
61.744,-155.131
52.735,-169.738
19.056,-64.823
19.475,-65.287
53.219,-168.018
52.272,-170.460
63.138,-149.961
18.160,-64.869
0.643,96.875
0.595,96.812
64.664,-160.087
40.429,-125.143
40.418,-125.369
19.110,-64.608
-57.261,-25.792
57.130,-150.695
47.783,-70.050
36.314,-120.428
10.692,-84.805
10.690,-84.808
63.126,-149.535
-3.413,101.418
27.513,92.644
-28.360,-176.470
62.316,-148.981
40.781,-123.791
27.608,92.992
33.958,-118.419
36.250,69.892
54.488,-161.571
51.873,179.761
37.496,-118.734
18.830,-67.243
-16.824,-177.032
-16.789,-177.037
-5.950,145.450
-5.942,145.486
62.478,-142.585
62.479,-142.588
52.128,-172.256
19.327,-64.677
65.016,-138.692
-20.041,-68.900
-20.011,33.520
-20.011,33.520
17.235,-100.256
12.792,-88.360
30.288,103.150
-28.736,-178.916
-28.681,-178.916
18.157,-68.083
33.776,-82.377
35.424,-100.238
40.301,-125.819
19.410,-155.322
51.467,-177.826
51.308,-177.871
28.761,52.311
28.540,52.470
32.233,-115.275
-41.202,-87.687
-17.855,-178.594
-17.841,-178.598
-27.691,-176.616
-21.634,-68.548
-21.490,-68.202
37.417,35.681
37.417,35.681
50.158,157.515
50.211,157.522
50.105,157.610
33.646,-116.740
33.646,-116.740
17.371,147.185
51.297,-178.021
52.368,-172.955
18.058,-65.589
10.462,-85.893
10.540,-86.010
36.176,-117.851
18.060,-65.428
53.675,-164.348
19.610,-155.115
18.183,-67.342
-24.054,-66.275
27.886,139.839
35.342,-117.924
35.698,-97.162
-23.123,-67.333
60.614,-150.344
61.721,-150.898
33.505,-116.475
19.591,-64.745
32.870,131.453
44.681,-125.865
35.702,-97.114
36.703,-121.339
28.374,104.961
36.759,22.916
48.606,152.048
35.690,-97.089
39.577,73.413
28.318,51.691
-27.689,-176.554
-18.694,169.258
-10.226,161.518
28.354,142.611
19.337,-64.209
-11.897,165.262
53.725,-165.174
34.531,70.218
-36.584,-72.429
60.192,-153.280
10.092,-83.226
52.301,-174.378
32.372,139.076
52.506,-169.637
29.023,51.591
-4.856,139.454
40.289,-126.723
63.070,-151.594
15.538,-87.221
-20.070,66.679
39.984,143.132
-19.842,66.809
-3.913,152.120
-9.026,123.909
18.822,-63.891
-1.645,-77.797
-0.077,122.660
35.679,-97.104
