nr_objects,level,nr_leafs
4,6,13
11,10,2381
7,10,1197
2,6,7
1,8,69
2,8,94
2,9,176
3,10,362
4,10,461
10,10,2248
10,9,735
4,8,149
8,9,704
4,9,316
8,10,1567
9,10,1904
12,10,2136
14,10,1716
6,9,569
3,9,237
10,8,179
17,10,1152
15,10,1391
16,10,1285
5,10,720
9,9,687
6,10,954
13,10,1828
8,7,63
18,10,1072
20,10,919
19,10,904
21,10,829
22,10,722
23,10,615
27,10,462
33,10,287
32,10,309
7,9,586
24,10,604
31,10,301
28,10,419
29,10,377
38,10,205
36,10,218
3,8,126
5,9,408
2,10,184
26,10,545
25,10,578
34,10,251
37,10,224
30,10,338
7,7,68
39,10,194
44,10,128
41,10,163
42,10,139
5,7,60
40,10,172
48,10,129
45,10,144
51,10,77
54,10,75
46,10,135
47,10,119
43,10,145
52,10,92
53,10,78
35,10,257
1,9,107
55,10,77
66,10,68
56,10,63
83,10,20
72,10,42
74,10,40
86,10,20
63,10,70
75,10,42
79,10,28
82,10,30
50,10,80
62,10,53
70,10,61
68,10,58
67,10,73
88,10,22
65,10,67
49,10,95
61,10,71
59,10,67
60,10,65
84,10,26
81,10,35
80,10,27
78,10,25
57,10,54
71,10,56
69,10,62
73,10,47
90,10,31
96,10,24
91,10,18
107,10,7
103,10,13
98,10,17
112,10,14
89,10,19
99,10,19
122,10,2
58,10,110
76,10,34
85,10,30
105,10,10
114,10,12
121,10,9
120,10,11
118,10,7
117,10,12
97,10,17
87,10,20
95,10,19
92,10,16
106,10,12
119,10,6
101,10,9
93,10,29
109,10,8
100,10,9
110,10,10
77,10,31
64,10,55
6,8,196
1,10,149
7,8,197
9,8,186
5,8,162
8,8,210
6,7,62
2,7,55
9,7,52
10,7,43
1,7,42
5,6,18
3,7,51
4,7,71
7,6,8
2,5,1
9,5,1
6,6,18
8,6,14
10,6,8
1,6,7
9,6,5
3,6,7
134,10,5
143,10,2
147,10,3
132,10,5
127,10,8
148,10,3
94,10,19
104,10,12
124,10,7
108,10,9
113,10,8
102,10,12
116,10,8
125,10,4
115,10,6
129,10,4
152,10,2
138,10,6
154,10,2
137,10,9
111,10,9
126,10,7
153,10,2
128,10,3
151,10,2
150,10,1
142,10,4
133,10,5
165,10,1
156,10,1
131,10,7
162,10,1
172,10,2
164,10,3
155,10,2
181,10,2
176,10,1
158,10,2
196,10,1
135,10,4
166,10,1
141,10,4
136,10,3
123,10,2
130,10,2
140,10,4
163,10,1
177,10,1
183,10,1
170,10,1
160,10,1
146,10,1
145,10,1
149,10,1
7,5,1
1,5,1
2,3,1
3,5,1
5,5,1
4,5,1
