nr_objects,level,nr_leafs
1,9,70
5,10,439
2,10,182
16,10,436
12,10,621
7,10,630
13,10,576
11,10,684
10,10,674
14,10,542
17,10,379
18,10,352
30,10,137
33,10,108
15,10,470
20,10,292
25,10,208
32,10,105
24,10,201
42,10,44
19,10,352
21,10,285
27,10,170
29,10,140
36,10,86
38,10,87
46,10,50
48,10,48
31,10,115
6,9,180
6,10,489
26,10,179
22,10,244
4,10,341
23,10,205
28,10,162
34,10,108
9,10,705
47,10,41
71,10,25
43,10,66
79,10,12
66,10,27
3,8,42
9,9,219
2,9,101
10,9,181
8,10,662
3,10,239
4,8,58
37,10,62
39,10,77
41,10,64
35,10,99
40,10,72
45,10,60
51,10,34
83,10,11
77,10,14
54,10,29
44,10,52
49,10,36
53,10,28
67,10,22
65,10,16
59,10,22
78,10,9
85,10,12
62,10,27
58,10,44
56,10,24
80,10,10
70,10,32
92,10,11
103,10,11
102,10,5
99,10,12
64,10,28
81,10,15
75,10,17
57,10,29
63,10,20
68,10,21
52,10,37
111,10,4
104,10,6
105,10,6
132,10,2
82,10,13
89,10,10
148,10,3
114,10,6
95,10,12
135,10,2
107,10,2
74,10,18
98,10,6
153,10,2
128,10,4
137,10,2
150,10,2
124,10,3
100,10,11
61,10,18
73,10,23
88,10,11
86,10,15
87,10,8
76,10,16
72,10,20
60,10,22
69,10,27
7,9,186
109,10,2
55,10,29
97,10,8
122,10,4
91,10,6
1,10,125
50,10,40
3,9,134
5,9,185
8,9,209
9,8,40
10,8,50
6,8,62
1,8,43
2,8,43
7,8,51
5,8,73
4,9,159
8,8,50
84,10,10
120,10,6
93,10,12
108,10,5
2,7,7
7,7,19
9,7,14
8,7,15
5,7,8
6,7,12
10,7,7
3,7,6
4,7,7
2,4,1
161,10,1
123,10,4
116,10,7
162,10,1
191,10,3
192,10,3
152,10,1
149,10,2
141,10,3
119,10,4
154,10,2
126,10,2
90,10,9
94,10,8
110,10,3
143,10,4
113,10,5
163,10,2
147,10,1
130,10,3
127,10,1
121,10,2
213,10,1
133,10,5
166,10,1
208,10,1
106,10,4
196,10,1
165,10,2
101,10,5
125,10,3
145,10,1
118,10,3
117,10,1
129,10,7
112,10,1
144,10,2
201,10,2
136,10,1
177,10,2
158,10,1
172,10,3
219,10,1
155,10,1
259,10,1
175,10,3
142,10,2
180,10,3
131,10,5
173,10,1
151,10,2
164,10,1
96,10,5
138,10,2
174,10,1
159,10,1
195,10,1
184,10,1
202,10,1
188,10,1
236,10,1
224,10,1
178,10,2
160,10,1
168,10,1
171,10,1
156,10,1
134,10,1
182,10,1
1,7,4
4,6,3
1,5,1
1,6,3
7,6,1
10,5,1
10,4,1
10,6,1
3,6,1
6,6,1
